feature,target,spearman,abs_spearman
green_pixel_ratio,GDM_g,0.5702840606199678,0.5702840606199678
exg_mean,GDM_g,0.5245998943052278,0.5245998943052278
hist_g_6,Dry_Green_g,0.5175075636934084,0.5175075636934084
hist_exg_3,GDM_g,-0.5058604812951045,0.5058604812951045
hist_g_6,GDM_g,0.4943863031044227,0.4943863031044227
hist_b_6,Dry_Clover_g,-0.4827763816494068,0.4827763816494068
vegetation_coverage_exg,GDM_g,0.4609476324551788,0.4609476324551788
hist_b_5,Dry_Clover_g,-0.45464107172672896,0.45464107172672896
green_pixel_ratio,Dry_Green_g,0.4306315878228342,0.4306315878228342
hist_exg_3,Dry_Green_g,-0.4262296079538499,0.4262296079538499
hist_exg_6,GDM_g,0.42607692215112464,0.42607692215112464
exg_mean,Dry_Green_g,0.4232484360033823,0.4232484360033823
hist_g_7,Dry_Green_g,0.41428627560318826,0.41428627560318826
saturation_mean,GDM_g,0.41036415923329134,0.41036415923329134
hist_exg_5,GDM_g,0.4073151634495454,0.4073151634495454
hist_g_6,Dry_Total_g,0.40458915163762743,0.40458915163762743
saturation_std,Dry_Total_g,0.39766954304487767,0.39766954304487767
hist_b_0,GDM_g,0.39458710573126243,0.39458710573126243
hist_g_7,Dry_Total_g,0.391009675278361,0.391009675278361
hist_gray_6,Dry_Green_g,0.3848261190348414,0.3848261190348414
vegetation_coverage_exg,Dry_Green_g,0.3807706609211982,0.3807706609211982
hist_r_6,Dry_Dead_g,0.3741790619354793,0.3741790619354793
hist_r_7,Dry_Dead_g,0.37111444146613964,0.37111444146613964
hist_g_7,GDM_g,0.37020020254131997,0.37020020254131997
exg_mean,Dry_Total_g,0.3691809786650027,0.3691809786650027
hist_exg_3,Dry_Total_g,-0.36732692890586455,0.36732692890586455
saturation_std,Dry_Green_g,0.3650730136263512,0.3650730136263512
hist_b_7,Dry_Clover_g,-0.3632900501530428,0.3632900501530428
hist_b_2,Dry_Green_g,-0.359422520697911,0.359422520697911
hist_r_0,GDM_g,0.35941354454194907,0.35941354454194907
gray_entropy,Dry_Green_g,0.35748808590157344,0.35748808590157344
green_pixel_ratio,Dry_Total_g,0.35730767749772363,0.35730767749772363
saturation_std,GDM_g,0.35527110921220256,0.35527110921220256
hist_b_0,Dry_Total_g,0.3551102625923229,0.3551102625923229
hist_b_3,GDM_g,-0.35051361228156946,0.35051361228156946
hist_exg_6,Dry_Green_g,0.3477450818709257,0.3477450818709257
hist_b_0,Dry_Green_g,0.3477331010249621,0.3477331010249621
gray_entropy,Dry_Total_g,0.3433555562942262,0.3433555562942262
saturation_mean,Dry_Total_g,0.3403840990577312,0.3403840990577312
hist_exg_5,Dry_Green_g,0.33942307590978404,0.33942307590978404
hist_gray_6,Dry_Total_g,0.3358477470960993,0.3358477470960993
saturation_mean,Dry_Green_g,0.33168411272264,0.33168411272264
texture_sobel_mean,Dry_Dead_g,0.327996218344823,0.327996218344823
hist_exg_7,GDM_g,0.32710105130051287,0.32710105130051287
vegetation_coverage_exg,Dry_Total_g,0.3224039651615458,0.3224039651615458
hist_exg_4,GDM_g,-0.3219076762600066,0.3219076762600066
hist_b_4,Dry_Clover_g,-0.3196839627469128,0.3196839627469128
brightness_std,Dry_Total_g,0.31943580687088635,0.31943580687088635
brightness_std,Dry_Green_g,0.31882782244114405,0.31882782244114405
hist_b_7,Dry_Dead_g,0.3187534826492005,0.3187534826492005
texture_laplacian_var,Dry_Dead_g,0.31141493708195,0.31141493708195
hist_g_3,Dry_Green_g,-0.3054959227380986,0.3054959227380986
hist_r_0,Dry_Green_g,0.30004137787187185,0.30004137787187185
hist_b_3,Dry_Total_g,-0.2979239161576515,0.2979239161576515
hist_g_3,GDM_g,-0.2946504886062915,0.2946504886062915
hist_gray_7,Dry_Total_g,0.29435807195264574,0.29435807195264574
hist_exg_6,Dry_Total_g,0.293996174423871,0.293996174423871
gray_entropy,Dry_Clover_g,-0.29306418392388234,0.29306418392388234
hist_b_1,Dry_Clover_g,0.2926707655181586,0.2926707655181586
hist_b_3,Dry_Green_g,-0.292045321317405,0.292045321317405
hist_r_0,Dry_Total_g,0.2886742520849111,0.2886742520849111
hist_gray_6,GDM_g,0.28168991239195923,0.28168991239195923
hist_exg_4,Dry_Dead_g,0.27882562633340996,0.27882562633340996
hist_b_2,Dry_Clover_g,0.2777412698062829,0.2777412698062829
hist_gray_6,Dry_Clover_g,-0.2767607522651783,0.2767607522651783
hist_r_1,GDM_g,0.2748118460503183,0.2748118460503183
hist_gray_7,Dry_Green_g,0.2719443631185116,0.2719443631185116
brightness_std,Dry_Clover_g,-0.2708608397971,0.2708608397971
gray_entropy,Dry_Dead_g,0.26908522879028285,0.26908522879028285
hist_exg_7,Dry_Green_g,0.2689687594613945,0.2689687594613945
hist_b_4,GDM_g,-0.26854311617955,0.26854311617955
hist_r_7,Dry_Clover_g,-0.2681214291512335,0.2681214291512335
hist_b_2,Dry_Total_g,-0.2651176177175748,0.2651176177175748
hist_g_3,Dry_Total_g,-0.2648191133337837,0.2648191133337837
hist_gray_7,Dry_Clover_g,-0.26279127414047376,0.26279127414047376
hist_gray_3,Dry_Total_g,-0.2573095312540864,0.2573095312540864
hist_exg_4,Dry_Green_g,-0.2571305532982787,0.2571305532982787
hist_exg_5,Dry_Total_g,0.2569775771224674,0.2569775771224674
hist_gray_7,Dry_Dead_g,0.2559853767153983,0.2559853767153983
hist_r_6,Dry_Clover_g,-0.2550683998517167,0.2550683998517167
hist_gray_3,Dry_Green_g,-0.25165210689500045,0.25165210689500045
