embedding,feature_set,model,cv_weighted_r2,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g,Dry_Total_g,fold_scores,runtime_sec,memory_delta_mb
convnextv2_base,B_embeddings_only,catboost,0.4670238940011295,0.4975157558211902,0.2662085289521192,0.1944765999726623,0.5482302602426098,0.5231155069560208,"[0.40081431660926736, 0.46246026672378093, 0.49574148631412596, 0.4862872672377857, 0.5163890246400185]",399.6618225574493,46.68359375
convnextv2_base,B_embeddings_only,lightgbm,0.5160046842479287,0.5203629705728136,0.3469737437422021,0.3915910580041685,0.5996848264115926,0.5403498834673833,"[0.439135269345206, 0.4922620986608094, 0.5470455273833393, 0.5210137145057341, 0.601722367617648]",54.61485433578491,8.36328125
convnextv2_base,B_embeddings_only,xgboost,0.5412027749314909,0.5912029812010702,0.3339783913942753,0.3610481100520292,0.639778700368968,0.5692481731859198,"[0.4774868946457736, 0.5202874348157269, 0.561912112872917, 0.5370253625017346, 0.6248686082796466]",134.2328269481659,7.98828125
dinov2_large,B_embeddings_only,catboost,0.4787880575155184,0.5193886379704158,0.2930270333292026,0.4151851559827573,0.5332661716005606,0.4987494809343376,"[0.3945054638819323, 0.5149265487054777, 0.5246150008082642, 0.48065236735221634, 0.5247859461509461]",390.0597913265228,1.10546875
dinov2_large,B_embeddings_only,lightgbm,0.5479724847626415,0.5818782254279696,0.3531249501232431,0.6011877306282802,0.5977525221104176,0.5496057794452174,"[0.4191907594732588, 0.5547247646461979, 0.5764395772934672, 0.5855307178517608, 0.6203519728002289]",54.28087544441223,72.546875
dinov2_large,B_embeddings_only,xgboost,0.556413903123041,0.6074413243832406,0.4054654980982898,0.5578915559175288,0.6195057749565648,0.5508658205836441,"[0.4591088794558212, 0.5904959331208088, 0.5869959046456732, 0.5476005770659504, 0.6305248109934902]",128.6084954738617,-0.4609375
siglip_base,B_embeddings_only,catboost,0.4831615121796278,0.5247172450791158,0.2760032005574099,0.278460818485305,0.5257527569749217,0.5401856687449207,"[0.4630463447295935, 0.5061479114967253, 0.51337518749489, 0.46808376802790286, 0.49328903415550207]",291.43512868881226,-7.421875
siglip_base,B_embeddings_only,lightgbm,0.5516976718092355,0.5373540790976152,0.2935676095454891,0.5111758483285773,0.6080158924564163,0.591769479241568,"[0.46914125157876263, 0.5277038228033959, 0.6267995417292107, 0.5481253953996545, 0.5991343540226696]",39.67483162879944,3.53125
siglip_base,B_embeddings_only,xgboost,0.5461500110399187,0.5727227059680036,0.2868827738913896,0.5128452369138541,0.6005166185609221,0.577603231300819,"[0.4601936443590049, 0.513904952400545, 0.6138477981121211, 0.5545187406537366, 0.604398141097235]",95.24393558502196,2.79296875
