model,cv_weighted_r2,fold_scores
LightGBM_image_features,0.3925693382516021,"[0.2811007999468943, 0.3589427276882717, 0.46914791981307497, 0.3613213113189509, 0.5063644907314331]"
CatBoost_image_features,0.3685926331625104,"[0.24021513405100284, 0.39493293245299027, 0.4649163005250798, 0.3361481825122463, 0.43022921361896116]"
