feature,mean_abs_shap,target
State_Vic,0.008101936319443611,GDM_g
State_WA,0.02360072627717424,GDM_g
Species_Clover,0.009881671667969256,GDM_g
Species_Fescue,0.03250467921823894,GDM_g
Species_Fescue_CrumbWeed,0.005766340960573064,GDM_g
Species_Lucerne,0.022983925924760035,GDM_g
Species_Mixed,0.0,GDM_g
Species_Phalaris,0.0,GDM_g
Species_Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.0,GDM_g
Species_Phalaris_Clover,0.005465895644980332,GDM_g
Species_Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.0,GDM_g
Species_Phalaris_Ryegrass_Clover,0.0,GDM_g
Species_Ryegrass,0.07769635249335978,GDM_g
Species_Ryegrass_Clover,0.012907503558873431,GDM_g
Species_SubcloverDalkeith,0.0,GDM_g
Species_SubcloverLosa,0.0,GDM_g
Species_WhiteClover,0.008978481844783323,GDM_g
season_autumn,0.019727650396100912,GDM_g
season_spring,0.0011625685170144615,GDM_g
season_summer,0.0004588389883554882,GDM_g
season_winter,0.015855302090909153,GDM_g
Pre_GSHH_NDVI,0.1782208766092167,GDM_g
Height_Ave_cm,0.0423600507744797,GDM_g
month,0.022532757277156867,GDM_g
dayofyear,0.06714237955814348,GDM_g
year,0.0,GDM_g
month_sin,0.005051976247887411,GDM_g
month_cos,0.07265835990073811,GDM_g
species_count,0.0,GDM_g
ndvi_x_height,0.37731304857346043,GDM_g
height_per_ndvi,0.06712387966442428,GDM_g
State_NSW,0.001372457798128733,Dry_Total_g
State_Tas,0.006438038721336081,Dry_Total_g
State_Vic,0.012178045899186911,Dry_Total_g
State_WA,0.009446059198202596,Dry_Total_g
Species_Clover,0.008469746812151058,Dry_Total_g
Species_Fescue,0.036847189650851604,Dry_Total_g
Species_Fescue_CrumbWeed,0.00020965292704580737,Dry_Total_g
Species_Lucerne,0.03134695026393762,Dry_Total_g
Species_Mixed,0.0,Dry_Total_g
Species_Phalaris,0.0,Dry_Total_g
Species_Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.002723429504765986,Dry_Total_g
Species_Phalaris_Clover,0.008183067926541441,Dry_Total_g
Species_Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.0,Dry_Total_g
Species_Phalaris_Ryegrass_Clover,0.0,Dry_Total_g
Species_Ryegrass,0.04583857454797346,Dry_Total_g
Species_Ryegrass_Clover,0.015111479682512967,Dry_Total_g
Species_SubcloverDalkeith,0.0,Dry_Total_g
Species_SubcloverLosa,0.0,Dry_Total_g
Species_WhiteClover,0.0009580334637542285,Dry_Total_g
season_autumn,0.003405197921287006,Dry_Total_g
season_spring,0.0014132576885993863,Dry_Total_g
season_summer,0.0007858563516865628,Dry_Total_g
season_winter,0.0009802648323957996,Dry_Total_g
Pre_GSHH_NDVI,0.0980149976558393,Dry_Total_g
Height_Ave_cm,0.12567988003106748,Dry_Total_g
month,0.04082468455972175,Dry_Total_g
dayofyear,0.07267093491690661,Dry_Total_g
year,0.0,Dry_Total_g
month_sin,0.0122917972915367,Dry_Total_g
month_cos,0.05322318615221108,Dry_Total_g
species_count,0.0,Dry_Total_g
ndvi_x_height,0.23991103794132995,Dry_Total_g
height_per_ndvi,0.060976330703968344,Dry_Total_g
