model,cv_weighted_r2,fold_scores
LightGBM_metadata_image_features,0.6704379576406135,"[0.5626662863316951, 0.6598979459899486, 0.7220639207137667, 0.6955809352024043, 0.7289560636486068]"
CatBoost_metadata_image_features,0.6510223764238942,"[0.568026441712278, 0.6600195569693693, 0.6826901297672299, 0.663812267613, 0.6961430654670901]"
