feature_set,cv_weighted_r2,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g,Dry_Total_g
pseudo_ndvi_height_plus_all_embeddings,0.5967027156914979,0.6017846944908584,0.44036666613839337,0.5988669888956035,0.6665921233250369,0.5985649121480099
pseudo_ndvi_height_plus_dinov2_large,0.563753867423686,0.6134143670213992,0.35731105056944223,0.5695743797496826,0.6653115833711059,0.5533231420308249
pseudo_ndvi_height_plus_siglip_base,0.5499623030196711,0.6048424777190714,0.27466460784274793,0.4980963082437835,0.6069614404487806,0.5816193510987093
pseudo_ndvi_height_plus_convnextv2_base,0.5493737186714382,0.5670289831032942,0.3609645313251255,0.392582830146022,0.6444813877930394,0.5768396133107725
pseudo_ndvi_height_only,0.26339370706818005,0.3253693518159386,-0.19418376686512984,-0.12029466167712632,0.43018008898210447,0.3525371938887818
