feature_set,embedding,model,cv_weighted_r2,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g,Dry_Total_g,fold_scores,runtime_sec,memory_delta_mb
A_metadata_only,none,catboost,0.6321659618056023,0.7127725987235989,0.3820763113795962,0.5077807762643752,0.7195875907903426,0.6559709500215534,"[0.534338138412833, 0.6555935983224765, 0.6511507609042128, 0.6618094421097471, 0.6821225832737895]",40.40528392791748,21.23046875
A_metadata_only,none,lightgbm,0.7161042206219238,0.8176159292662926,0.4144189889762004,0.6095424721904789,0.834237266755487,0.7301980564550584,"[0.590574823199062, 0.7688236971761866, 0.7616173553195134, 0.7417800121778407, 0.7179934261320374]",2.9842233657836914,8.484375
A_metadata_only,none,xgboost,0.710741720700206,0.8013871116316111,0.4207893763914684,0.6090267485642042,0.8216942606049439,0.7265650898409778,"[0.5898519777361206, 0.7470086318094331, 0.7650593837111955, 0.7346068289988072, 0.7340191931293645]",2.2966158390045166,85.9765625
B_embeddings_only,convnextv2_base,catboost,0.4670238940011295,0.4975157558211902,0.2662085289521192,0.1944765999726623,0.5482302602426098,0.5231155069560208,"[0.40081431660926736, 0.46246026672378093, 0.49574148631412596, 0.4862872672377857, 0.5163890246400185]",399.6618225574493,46.68359375
B_embeddings_only,convnextv2_base,lightgbm,0.5160046842479287,0.5203629705728136,0.3469737437422021,0.3915910580041685,0.5996848264115926,0.5403498834673833,"[0.439135269345206, 0.4922620986608094, 0.5470455273833393, 0.5210137145057341, 0.601722367617648]",54.61485433578491,8.36328125
B_embeddings_only,convnextv2_base,xgboost,0.5412027749314909,0.5912029812010702,0.3339783913942753,0.3610481100520292,0.639778700368968,0.5692481731859198,"[0.4774868946457736, 0.5202874348157269, 0.561912112872917, 0.5370253625017346, 0.6248686082796466]",134.2328269481659,7.98828125
C_metadata_plus_embeddings,convnextv2_base,catboost,0.5922420591569044,0.6529664807927982,0.3416837907186046,0.372007497065083,0.6739820337855733,0.6415597510842823,"[0.5015972308868017, 0.6111911865624626, 0.6460746028680113, 0.6234783323180947, 0.5973091347485604]",460.2565696239472,-211.02734375
C_metadata_plus_embeddings,convnextv2_base,lightgbm,0.6492579860341712,0.7583285766617267,0.3815751502026683,0.555975195481077,0.7372054064552412,0.6644580250171513,"[0.5607898139935865, 0.6482522888724052, 0.6721046452232483, 0.6719751975691206, 0.6943077746608707]",57.25753140449524,9.91796875
C_metadata_plus_embeddings,convnextv2_base,xgboost,0.6339004920330495,0.7338773680100916,0.3836951150387688,0.5228700499526517,0.7314150376448312,0.647146462407864,"[0.5001031608411863, 0.6467173017960689, 0.6838661491436258, 0.6707563834059418, 0.6879917344108598]",119.3561670780182,2.76953125
B_embeddings_only,dinov2_large,catboost,0.4787880575155184,0.5193886379704158,0.2930270333292026,0.4151851559827573,0.5332661716005606,0.4987494809343376,"[0.3945054638819323, 0.5149265487054777, 0.5246150008082642, 0.48065236735221634, 0.5247859461509461]",390.0597913265228,1.10546875
B_embeddings_only,dinov2_large,lightgbm,0.5479724847626415,0.5818782254279696,0.3531249501232431,0.6011877306282802,0.5977525221104176,0.5496057794452174,"[0.4191907594732588, 0.5547247646461979, 0.5764395772934672, 0.5855307178517608, 0.6203519728002289]",54.28087544441223,72.546875
B_embeddings_only,dinov2_large,xgboost,0.556413903123041,0.6074413243832406,0.4054654980982898,0.5578915559175288,0.6195057749565648,0.5508658205836441,"[0.4591088794558212, 0.5904959331208088, 0.5869959046456732, 0.5476005770659504, 0.6305248109934902]",128.6084954738617,-0.4609375
C_metadata_plus_embeddings,dinov2_large,catboost,0.5929881878318236,0.6576945909766576,0.3730596324219476,0.4859797033673529,0.6612440379276903,0.6181319751393795,"[0.5092447214347954, 0.6129060800222857, 0.6502862661331567, 0.6246959473132203, 0.591370567299095]",454.3898923397064,3.85546875
C_metadata_plus_embeddings,dinov2_large,lightgbm,0.6678272881111021,0.7710443102598652,0.409713866242658,0.6110266497245627,0.7481734920671728,0.6780282141499181,"[0.555969257000942, 0.7076452569823726, 0.7004112314295876, 0.6771151573757721, 0.726605914666654]",54.2636981010437,2.33203125
C_metadata_plus_embeddings,dinov2_large,xgboost,0.6774123595230002,0.7470021194125457,0.4394096746401377,0.6185982403536603,0.7583916724383176,0.6904660431894046,"[0.5481329746347927, 0.7057578233387258, 0.7301857492598945, 0.6966587771030044, 0.7399468471238904]",116.32134056091309,3.54296875
B_embeddings_only,siglip_base,catboost,0.4831615121796278,0.5247172450791158,0.2760032005574099,0.278460818485305,0.5257527569749217,0.5401856687449207,"[0.4630463447295935, 0.5061479114967253, 0.51337518749489, 0.46808376802790286, 0.49328903415550207]",291.43512868881226,-7.421875
B_embeddings_only,siglip_base,lightgbm,0.5516976718092355,0.5373540790976152,0.2935676095454891,0.5111758483285773,0.6080158924564163,0.591769479241568,"[0.46914125157876263, 0.5277038228033959, 0.6267995417292107, 0.5481253953996545, 0.5991343540226696]",39.67483162879944,3.53125
