approach,model,cv_weighted_r2,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g,Dry_Total_g,fold_scores,runtime_sec,memory_delta_mb
predict_all_5_independently,catboost,0.6321659618056023,0.7127725987235989,0.3820763113795962,0.5077807762643752,0.7195875907903426,0.6559709500215534,"[0.534338138412833, 0.6555935983224765, 0.6511507609042128, 0.6618094421097471, 0.6821225832737895]",40.80787086486816,18.91015625
predict_5_posthoc_total_constraint,catboost,0.5793580365537909,0.7127725987235989,0.3820763113795962,0.5077807762643752,0.7195875907903426,0.5503550995179307,"[0.4912776290285982, 0.6154633064404296, 0.616078198480013, 0.6181633830790196, 0.5655804811679608]",41.399301290512085,4.19921875
predict_4_derive_total,catboost,0.5754685355702134,0.7013034568772232,0.3760997360572568,0.530714337971796,0.7146877148789212,0.5434384790076029,"[0.5042816974604237, 0.6082451463512719, 0.5968289849724506, 0.6170482000842548, 0.5585429595196951]",33.81266236305237,4.21484375
predict_all_5_independently,lightgbm,0.7161042206219238,0.8176159292662926,0.4144189889762004,0.6095424721904789,0.834237266755487,0.7301980564550584,"[0.590574823199062, 0.7688236971761866, 0.7616173553195134, 0.7417800121778407, 0.7179934261320374]",3.0834455490112305,7.82421875
predict_5_posthoc_total_constraint,lightgbm,0.7060764436834642,0.8176159292662926,0.4144189889762004,0.6095424721904789,0.834237266755487,0.7101425025781393,"[0.5781864177909186, 0.7203260443900366, 0.7561219888842508, 0.7379576856276595, 0.7383899976506572]",1.2833006381988523,0.5625
predict_4_derive_total,lightgbm,0.7060764436834642,0.8176159292662926,0.4144189889762004,0.6095424721904789,0.834237266755487,0.7101425025781393,"[0.5781864177909186, 0.7203260443900366, 0.7561219888842508, 0.7379576856276595, 0.7383899976506572]",1.0844361782073977,0.03515625
predict_all_5_independently,xgboost,0.710741720700206,0.8013871116316111,0.4207893763914684,0.6090267485642042,0.8216942606049439,0.7265650898409778,"[0.5898519777361206, 0.7470086318094331, 0.7650593837111955, 0.7346068289988072, 0.7340191931293645]",2.2992584705352783,84.046875
predict_5_posthoc_total_constraint,xgboost,0.6923831150891351,0.8013871116316111,0.4207893763914684,0.6090267485642042,0.8216942606049439,0.6898478786188357,"[0.5940112417707184, 0.7215498816105975, 0.732841272329616, 0.7105886856111884, 0.7118933652992757]",1.2326486110687256,0.2734375
predict_4_derive_total,xgboost,0.6923831151495304,0.8013871116316111,0.4207893763914684,0.6090267485642042,0.8216942606049439,0.6898478787396265,"[0.5940112422201634, 0.7215498873558197, 0.73284127070502, 0.7105886872424174, 0.7118933581776516]",0.9844427108764648,0.01171875
