feature_set,dim,task,model,cv_weighted_r2,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g,Dry_Total_g
dinov2_large_all_crops_pca256,256,biomass_only,lightgbm,0.4717483019116392,0.5578840031368939,0.2163966346611914,0.4016234938365546,0.5730788633277556,0.4790842321652481
all_models_original_pca256,256,joint_meta_biomass,catboost,0.46120617470006514,0.5078682323497993,0.20563881049437016,0.26855401007720237,0.5521299427460207,0.5051481617174476
all_models_all_crops_pca256,256,biomass_only,catboost,0.45870649381893425,0.4812893436751362,0.20580279947724955,0.2676121634684442,0.5393293650087742,0.5107403803101929
all_models_canopy_pca256,256,joint_meta_biomass,lightgbm,0.45059772667170855,0.4320448734663256,0.13197314470678656,0.5819739213195124,0.5491692530662289,0.45232936421840064
all_models_canopy_pca256,256,biomass_only,lightgbm,0.45059772667170855,0.4320448734663256,0.13197314470678656,0.5819739213195124,0.5491692530662289,0.45232936421840064
all_models_highveg_pca256,256,joint_meta_biomass,catboost,0.44650695276164376,0.47737301653361264,0.18342742923214594,0.25675602689883215,0.5291419268147941,0.4978458402644518
all_models_center_pca256,256,joint_meta_biomass,catboost,0.44470327696272904,0.4819646749389471,0.17305507688929056,0.27851529137123854,0.5192803972884237,0.49498738637019335
all_models_original_pca256,256,biomass_only,catboost,0.444395909410669,0.4812351130621467,0.206813219150496,0.2553727603450717,0.5330882819381888,0.4868722875345196
all_models_canopy_pca256,256,biomass_only,xgboost,0.4404664489187861,0.4692985725678843,0.1438133869762278,0.5096178208682922,0.539504890540278,0.4405849855389802
all_models_canopy_pca256,256,joint_meta_biomass,xgboost,0.4404664489187861,0.4692985725678843,0.1438133869762278,0.5096178208682922,0.539504890540278,0.4405849855389802
all_models_highveg_pca256,256,biomass_only,catboost,0.43785059397302545,0.4563714886814336,0.17057243205678585,0.25383383215780064,0.5202993552589452,0.49142589526326874
all_models_center_pca256,256,biomass_only,catboost,0.4346903073729585,0.46087273210426627,0.1678225322321767,0.2688021718721957,0.5073950135384747,0.4869231220887994
siglip_base_all_crops_pca256,256,joint_meta_biomass,catboost,0.41463930131860394,0.4343661219587942,0.1726833118567529,0.21607974585973677,0.4575547756777052,0.48163085643106895
dinov2_large_all_crops_pca256,256,joint_meta_biomass,catboost,0.4089519648484377,0.45482849490991617,0.19225751681334213,0.25238058873989366,0.4655329460053691,0.45179743120209737
siglip_base_all_crops_pca256,256,biomass_only,catboost,0.40499993768894776,0.4209939212569509,0.16780633633762854,0.19635351510051424,0.44761616814787153,0.4739226535797282
convnextv2_base_all_crops_pca256,256,joint_meta_biomass,catboost,0.3873295032580941,0.3962142143745584,0.19310818972891486,0.17289038300679405,0.4542457811164968,0.44051813664753603
dinov2_large_all_crops_pca256,256,biomass_only,catboost,0.3865852226171729,0.4176056558389888,0.176039897351,0.24264113448224478,0.43905444338865307,0.4302913303444378
convnextv2_base_all_crops_pca256,256,biomass_only,catboost,0.3756347367953593,0.37386114995453135,0.19916232713337534,0.1567328886705569,0.43601742123094533,0.4309112319466478
all_models_canopy_pca256,256,joint_meta_biomass,catboost,0.3649902949897082,0.3893303221114691,0.10878112874322687,0.2987013328804182,0.4169433805323087,0.40384068101947
all_models_canopy_pca256,256,biomass_only,catboost,0.35300796895901076,0.38024760168887317,0.10155448493229535,0.27925407039954797,0.40900734922367155,0.39020176682440966
